City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2022-01-23 22:20:42,42.6001,-73.9662,28.47,78,100,1.9
1,Tuktoyaktuk,CA,2022-01-23 22:22:53,69.4541,-133.0374,3.2,78,100,6.91
2,Ahuimanu,US,2022-01-23 22:22:54,21.4447,-157.8378,82.11,66,100,4.0
3,Hilo,US,2022-01-23 22:22:54,19.7297,-155.09,80.33,71,75,10.36
4,Yellowknife,CA,2022-01-23 22:19:58,62.456,-114.3525,-15.59,82,40,5.75
5,Pevek,RU,2022-01-23 22:22:55,69.7008,170.3133,-12.51,96,100,18.25
6,Kushima,JP,2022-01-23 22:22:55,31.4583,131.2333,53.64,92,92,11.48
7,Camocim,BR,2022-01-23 22:22:56,-2.9022,-40.8411,80.58,72,59,15.1
8,Ambulu,ID,2022-01-23 22:22:56,-8.345,113.6058,76.55,88,90,4.03
9,Shafranovo,RU,2022-01-23 22:22:57,53.9667,54.7667,6.44,92,100,1.61
10,Busselton,AU,2022-01-23 22:22:57,-33.65,115.3333,65.08,72,53,15.68
11,Kisangani,CD,2022-01-23 22:22:58,0.5167,25.2,74.07,75,100,2.84
12,Ushuaia,AR,2022-01-23 22:22:58,-54.8,-68.3,51.46,66,75,21.85
13,Kruisfontein,ZA,2022-01-23 22:22:58,-34.0033,24.7314,69.89,45,0,5.46
14,Yulara,AU,2022-01-23 22:22:59,-25.2406,130.9889,75.04,60,0,12.66
15,Hithadhoo,MV,2022-01-23 22:22:59,-0.6,73.0833,81.99,67,38,16.31
16,Mataura,NZ,2022-01-23 22:23:00,-46.1927,168.8643,58.48,50,51,1.32
17,Barrow,US,2022-01-23 22:23:00,71.2906,-156.7887,1.42,78,100,0.0
18,Gat,IL,2022-01-23 22:20:01,31.61,34.7642,50.77,100,100,5.46
19,Galle,LK,2022-01-23 22:21:32,6.0367,80.217,74.5,83,100,3.31
20,Tiksi,RU,2022-01-23 22:23:01,71.6872,128.8694,-6.38,100,100,3.36
21,Arraial Do Cabo,BR,2022-01-23 22:23:01,-22.9661,-42.0278,78.66,78,0,21.85
22,Puerto Ayora,EC,2022-01-23 22:20:38,-0.7393,-90.3518,84.16,82,100,9.93
23,Gusau,NG,2022-01-23 22:23:02,12.1628,6.6614,68.92,16,4,9.93
24,Kavaratti,IN,2022-01-23 22:23:02,10.5669,72.642,79.65,63,8,11.65
25,Faanui,PF,2022-01-23 22:23:03,-16.4833,-151.75,81.19,71,66,16.06
26,Longyearbyen,SJ,2022-01-23 22:23:03,78.2186,15.6401,12.04,85,0,10.36
27,Am Timan,TD,2022-01-23 22:23:04,11.0297,20.2827,75.74,20,12,7.63
28,Qaanaaq,GL,2022-01-23 22:23:04,77.484,-69.3632,-4.67,75,100,3.94
29,Chokurdakh,RU,2022-01-23 22:23:04,70.6333,147.9167,-19.52,99,100,6.4
30,Kavieng,PG,2022-01-23 22:23:05,-2.5744,150.7967,82.99,71,49,5.32
31,Kieta,PG,2022-01-23 22:23:05,-6.2167,155.6333,83.35,75,39,6.4
32,Khandyga,RU,2022-01-23 22:23:06,62.6667,135.6,-41.93,100,55,0.98
33,Mayskiy,RU,2022-01-23 22:23:06,47.6931,40.1025,28.44,98,100,12.46
34,Iqaluit,CA,2022-01-23 22:23:07,63.7506,-68.5145,-7.87,64,100,3.44
35,Hermanus,ZA,2022-01-23 22:23:07,-34.4187,19.2345,68.9,96,43,6.58
36,Rikitea,PF,2022-01-23 22:23:07,-23.1203,-134.9692,78.51,71,98,15.43
37,Rio Branco,BR,2022-01-23 22:23:08,-9.9747,-67.81,83.01,83,20,0.0
38,Portadown,GB,2022-01-23 22:23:08,54.4241,-6.4412,42.48,80,100,8.84
39,Dikson,RU,2022-01-23 22:23:09,73.5069,80.5464,-9.65,100,100,17.18
40,Bredasdorp,ZA,2022-01-23 22:23:09,-34.5322,20.0403,69.12,83,50,11.5
41,Darovskoy,RU,2022-01-23 22:23:10,58.77,47.9564,-1.48,100,100,2.84
42,Eucaliptus,BO,2022-01-23 22:23:10,-17.5833,-67.5167,49.69,57,100,6.02
43,Victoria,HK,2022-01-23 22:21:41,22.2855,114.1577,67.32,94,82,1.01
